,headlines,sentiment
795,`` The combined activities will create value for shareholders and be good for our employees and customers .,2
796,`` The trend in the sports and leisure markets was favorable in the first months of the year .,2
797,"`` We continued actively to focus R&D and to position our offering away from point solutions towards dynamic end-to-end solutions , '' Ervio stated .",2
798,16 February 2011 - Finnish industrial machinery company Metso Oyj ( HEL : MEO1V ) said today it will deliver minerals processing equipment and basic engineering to Canadian miner Northland Resources ( OSL : NAUR ) ( TSE : NAU ) .,2
799,27 January 2011 - Finnish IT solutions provider Affecto Oyj ( HEL : AFE1V ) said today it has won a EUR1 .2 m ( USD1 .6 m ) contract from state-owned Lithuanian Social Insurance Institution ( SODRA ) .,2
800,"According to Finnish pension insurance company Varma , Varma was the recipient of over two thirds of the revenue of the earnings-related pension cover that was under competitive tendering in Finland .",2
801,Finnish construction group Lemmink+�inen has been awarded two road building contracts by the Lithuanian transport administration .,2
802,"Finnish construction group YIT has been awarded a contract to install heating , air conditioning and cooling systems to the new head office of the automobile association ADAC in Munich in Germany .",2
803,"Finnish flexible packaging manufacturer Suominen Corporation reports net sales of EUR 54.5 mn in the first quarter of 2008 , compared with EUR 54.3 mn a year earlier .",2
804,Finnish forest machinery manufacturer Ponsse has agreed with Volvo on the start of cooperation in Latin America .,2
805,"Finnish Metso Paper has been awarded a contract for the rebuild of Sabah Forest Industries ' ( SFI ) pulp mill in Sabah , Malaysia .",2
806,"Finnish Metso Paper has won an order to supply an uncoated fine paper machine to MCC Paper Yinhe , in China .",2
807,Finnish Outokumpu Technology has been awarded several new grinding technology contracts .,2
808,Finnish Rautaruukki has been awarded a contract to supply and install steel superstructures for the Partihallsf+�rbindelsen bridge in Gothenburg in Sweden .,2
809,"Lule+� municipality has awarded YIT a 2-year contract , for property management of about one third of the municipality 's properties , with a total area of 140,000 sq. metres .",2
810,"The shopping center to be opened in St. Petersburg , Russia in November 2010 will turn the cash flow of Finnish department store chain Stockmann 's Russian operations positive for the first time in 2011 .",2
811,"According to Atria 's President and CEO Matti Tikkakoski , the company 's Swedish operations significantly improved in the first quarter .",2
812,"According to CEO Kai Telanne , the company 's newspapers achieved the best financial result ever .",2
813,"According to Kesko , the company agreed with the city administration about lease of the building in 2006 , its resettlement and construction of a five-star hotel Hilton for 120 rooms .",2
814,"According to Nordic financial group Nordea 's analyst Sami Sarkamies , this makes Nokia 's portfolio competitive again .",2
815,"According to Ringman , Finnish paper companies have acquired know-how and capacity in paper recycling , which has turned out to be a successful strategy .",2
816,"According to Schmardin , Nordea will most likely try to win customers over from other pension fund providers .",2
817,"According to the CEO of Nordea Bank Estonia Vahur Kraft , Nordea Finland and Stockmann have been cooperating for more than ten years .",2
818,"Adanac Molybdenum of Canada has ordered grinding technology for its molybdenum project in British Columbia , Canada , while Shalkiya Zinc of Kazakhstan has awarded a contract for grinding technology for the Shalkiya zinc-lead project in Kazakhstan .",2
819,All of Raisio 's divisions recorded an operating profit .,2
820,"An estimated 30 pct of mobile calls are made from the home , and France Telecom hopes that 15 pct of its Orange clients will sign up for the service by the end of 2008 .",1
821,"And the broker repeated its ` buy ' rating , based on expectations that current restructuring will lead to a clear improvement in performance in Europe in 2007 .",2
822,"Arvo Vuorenmaa , the Loviisa plant 's general manager said the application for the new licence was a `` standard '' procedure and that he was `` quite confident '' about approval being granted .",2
823,"As a domestic business , Best-In is already close to Finnish dog owners .",2
824,"BasWare 's CEO Ilkka Sihvo comments in conjunction with the Interim Report : `` As a whole , BasWare succeeded well in the second quarter of 2007 .",2
825,Cash flow from operating activities is estimated to be positive .,2
826,Cision says the sale will return its U.K. operation to profitability .,2
827,"Citigroup , Inc ( NYSE : C ) has announced that its Global Transaction Services ( GTS ) business has been awarded a new mandate by Finland-based Pohjola Bank Group .",2
828,"Comptel , a vendor of dynamic Operations Support System ( OSS ) software , has been selected by Orascom Telecom ( OTH ) as partner for provisioning and activation solutions for mobile services .",2
829,"Department store sales improved by 14 % to EUR 1,070.6 mn .",2
830,DMASIA-16 August 2006-Benefon extends manufacturing capability with ASMobile -� 2006 Digitalmediaasia.com & DMA Ltd. .,2
831,"Finland 's national carrier Finnair PLC carried a record 8.5 million passengers in 2005 , an increase of 4.5 percent on the previous year , the airline reported Tuesday .",2
832,"Finnair PLC carried a record 8.8 million passengers in 2006 , an increase of 3.5 percent on the previous year , the Finnish national carrier reported Tuesday .",2
833,"Finnish consulting and engineering group Poyry Plc ( OMX Helsinki : POY ) said on Wednesday ( 1 October ) that it has been awarded a contract by Tanqia Dibba FZC as owner-engineer for the wastewater system of Dibba , Emirate of Fujairah , UAE .",2
834,"Finnish financial solutions developer Basware Corporation ( OMX Helsinki BAS1V ) said on Tuesday ( 23 September ) that it will deliver a complete Invoice Automation solution to a large US engineering , construction and technical services organization .",2
835,Finnish handling systems company Cargotec Oyj ( HEL : CGCBV ) said today that it won a EUR 13 million ( USD 16.6 m ) contract to deliver MacGregor hatch covers for ships ordered by Norwegian shipowner Grieg Shipping .,2
836,Finnish operator Elisa and Aker Yards have signed a long-term service deal through which Elisa will deliver all necessary voice and data services for Aker Yards in Finland .,2
837,"Finnish steel maker Rautaruukki Oyj ( Ruukki ) said on July 7 , 2008 that it won a 9.0 mln euro ( $ 14.1 mln ) contract to supply and install steel superstructures for Partihallsforbindelsen bridge project in Gothenburg , western Sweden .",2
838,"Fiskars has a strong portfolio of international brands , which include Fiskars , Iittala , Gerber , Silva and Buster .",2
839,"For Teleste , the acquisition marks an entry into services business in a market where it has long been an established and significant supplier of products .",2
840,"Forestries were also higher , driven by yesterday 's bullish analyst comment on Stora Enso in Dagens Industri , dealers said .",2
841,"Furthermore , efficiency improvement measures initiated earlier are now bearing fruit , '' CEO Jan Lang said .",2
842,Global Banking News - 28 September 2010 Tieto Corporation and Pohjola Bank ( PINK : POJLF ) are to cooperate on SWIFT services .,2
843,Hearst will be able to consolidate about 20 % of all Russian market for advertising in press after the purchase .,2
844,"Helsingin Uutiset , Vantaan Sanomat and Lansivayla reach some 385,000 readers , or more than 40 % of the consumers in the greater Helsinki region .",2
845,"HELSINKI ( AFX ) - Metso said it will upgrade one of UPM-Kymmene 's four paper machines at the latter 's mill in Jaemsaenkoski with a new coating color supply system , machine and process controls and quality measurements .",2
846,"However , Simdax will remain available in the markets where it already has been approved as it has marketing authorisations or submitted applications in more than 40 countries , Orion added .",2
847,"However , the broker gave an `` outperform '' recommendation on the stock .",2
848,"However , the total orders received will still be above last year s levels .",2
849,"In accordance with our strategy , we strengthened our local presence by establishing a representative office in South Africa in October .",2
850,"In addition , Lehdentekijat Oy will start producing a new membership magazine , Viisas Raha ( Wise Money ) for the Association .",2
851,"In future , the company intends to look for know-how from outside the company and to cooperate with other actors in the sector .",2
852,Industry Investment is very interested in Glaston 's solar energy projects .,2
853,It also has potential clients in the growing environmental and recycling technology sectors .,1
854,It is now the leading private road ambulance service company in Finland .,2
855,"Known as Post Bank , the concept would see Fidelity Bank rolling out 75 offices in Ghana Post premises , to provide financial services to the people .",2
856,"Kone 's factory located at Ayanambakkam , a suburb to the west of Chennai , is a fully integrated facility which gives it the capability to address costs .",2
857,Last year SysOpen Digia invested in IBM product know-how in the building of portal and trading place systems and successfully implemented customer solutions supported by it .,2
858,"( ADP News ) - Oct 1 , 2008 - Finnish consulting and engineering company Poyry Oyj ( OMX : POY1V ) said today it was awarded a EUR 5.2 million ( USD 7.4 m ) extension to their existing consultancy engineering contract with Venezuel",2
859,"( ADP News ) - Oct 31 , 2008 - Finnish food company Raisio Oyj ( OMX : RAIVV ) said today that its net profit jumped to EUR 16.4 million ( USD 20.9 m ) for the first nine months of 2008 from EUR 1.1 million for the same period of 2",2
860,"( ADP News ) - Sep 30 , 2008 - Finnish security and privacy software solutions developer Stonesoft Oyj said today that it won a USD 1.9 million ( EUR 1.3 m ) order to deliver its StoneGate network security products to an unnamed Russian te",2
861,"Meanwhile , Electrowatt-Ekono Philippines , Inc. was also awarded a three-year operation and maintenance ( O&M ) contract by FR Cement Corporation .",2
862,"Meanwhile , Nokia said that it will be able to deliver a complete range of services from deployment operations to consulting and integration to managed services as a result of the buyout .",2
863,Metso Paper 's delivery will comprise an Advantage DCT 200 tissue machine including quality control and distributed control systems ( QCS-DCS ) .,1
864,Net sales in 2007 totalled EUR 329 million and the operating margin was above 19 % .,1
865,"Nevertheless , Fitch notes that the business fundamentals of the three banks currently remain sound .",2
866,"Nokia controls more than 50 percent of phone sales in India and Africa , and has a strong prosition on most other emerging markets .",2
867,"Nokia will provide Indosat turnkey services , including civil works , network planning , implementation and integration of a WCDMA 3G-HSPA network .",1
868,NORDIC BUSINESS REPORT-26 June 2006-Metso Corporation wins EUR50m equipment order in Australia -� 1998-2006 M2 COMMUNICATIONS LTD The Finnish engineering and technology group Metso Corporation said on Monday ( 26 June ) that it has received a EUR50m equipment order in Australia .,2
869,"Of the sales price , a sales gain of some 3.1 mln euro ( $ 4.5 mln ) will be recognized in Incap 's earnings for 2007 .",2
870,Outotec 's net profit for the second quarter of 2007 jumped to 16.8 mln euro ( $ 23.1 mln ) from 4.6 mln euro ( $ 6.3 mln ) a year ago .,2
871,Panostaja Oyj s ( Panostaja ) Board of Directors decided on 16 December 2010 on a new long-term incentive and commitment plan for members of the management team .,2
872,"Pioneer Library System was one of 127 libraries , municipalities , arts , culture and higher education and science organizations to have been awarded grants to participate in The Big Read , the largest federal reading program in U.S. history .",2
873,Pretax profit jumped to EUR 21.9 million from EUR 3.1 million .,2
874,"Profitability ( EBIT % ) was 13.9 % , compared to 13.1 % in the previous-year period .",2
875,Raute Corporation has received orders worth over EUR 12 million from OOO Ilim Bratsk DOK in Russia .,2
876,"Recovery has been evident in the liquid handling business , particularly in areas outside Europe and primarily in North America and Asia .",2
877,"Sales improved to SEK 1,553 mn , compared with SEK 1,408 mn .",2
878,"Savon koulutuskuntayhtyma , Finland based company has awarded contract for specialist agricultural or forestry machinery .",2
879,SKF 6 April 2010 - Alandsbanken has given a `` buy '' recommendation on Swedish industrial company SKF AB ( STO : SKF B ) with a share price target of SEK150 .,2
880,Sony Ericsson and Nokia dominated the list of best-selling handsets with five models each .,2
881,"Speaking to just-drinks today , a spokesperson for Olvi said : `` We have performed very well in all four countries we operate in - namely , Finland , Estonia , Latvia and Lithuania . ''",2
882,Sports equipment sales also progressed well owing to the prolonged winter season .,2
883,Stockmann MasterCard has widened the scope of this cooperation to Estonia and Latvia .,2
884,Stora Enso will record a capital gain of EUR 33 million as a non-recurring financial item in its fourth quarter 2006 results .,1
885,TELE2 Affarsvarlden gave a `` buy '' recommendation on mobile operator Tele2 AB and a share price target of 142 crowns ( $ 23.54 - 15.19 euro ) .,2
886,That topped consensus forecasts for earnings of 0.21 euros a share .,2
887,The acquisition of Kaupthing Sverige will bring a significant positive non-recurring addition to the group 's performance .,2
888,The acquisition will have an immediate positive impact on Aspocomp 's financial result .,2
889,The amending of the proposal simplifies the proposed plan and increases the incentive for key employees to stay in the Company .,2
890,"The Australian company Mirabela Nickel has awarded Outokumpu Technology a contract for grinding technology for its nickel sulfide project in Bahia State , Brazil .",2
891,"The broker has initiated both Palfinger AG and Konecranes OYJ with ` buy ' recommendations , with 51 and 42 eur price targets respectively .",2
892,"The buyer aims to thus reinforce its position in Denmark , Martela Group managing director Heikki Martela said .",2
893,The companies have agreed on long-term cooperation to mechanise harvesting in Stora Enso 's eucalyptus plantations in Southern China .,2
894,The company aims to maintain this trend in profitability during the current year .,2
895,The company also said that in Poland a profitability program has been launched at the Oborniki steel frame and sandwich panel plant .,2
896,"The company has established a 3G base station at about 17,000 feet at the foot of Mount Everest that will enable mountain climbers at the 29,035-foot summit to surf the Internet and even send videos of their exploits .",2
897,The company is also featured in the Ethibel Pioneer Investment Register and included in Innovest 's Global 100 list of the world 's most sustainable corporations .,2
898,"The company 's goal is to achieve annual savings of EUR 2 million ( USD 2.7 m ) , of which two thirds are to be realized in 2010 .",2
899,The company said it observed a current stabilisation in prices and there is potential for higher prices for deliveries in the first quarter of 2011 .,2
900,The company will also be compensated for acting as a reserve batch plant .,2
901,The Group also has a strong global position in other fishing categories .,2
902,The Group 's cash flow from operations will be positive .,2
903,The mill has long traditions and holds an established position in the markets .,2
904,"The move is aimed at boosting sales , cost-efficiency and market share in Finland .",2
905,The newspapers of Alma Media and Arena Partners will enter a cooperation agreement on using Alma 's marketplace services in their respective regions .,1
906,"The original name Componenta +�m+�l , as a subsidiary of the Finnish Componenta Group , has been changed to +�m+�l Components and the company has seen a 63 % growth in Q1 2010 , in comparison to Q1 2009 .",2
907,The parties have also agreed on options that allow UH to extensively implement later on also functionalities of human resources management .,2
908,"The pilot project proved that RIFD technology is ideal for our purposes '' , comments Olli Saarinen , Material Handling Supervisor at Yara .",2
909,"The planned facility , estimated to cost around $ 814 million , would be the largest biodiesel plant in the world , and use palm oil certified by the Roundtable on Sustainable Palm Oil ( RSPO ) .",2
910,This combined with foreign investments creates interesting opportunities for Solteq .,2
911,"This is Done Logistics ' largest order in Norway , the diversified group said .",2
912,This resulted in improved sales figures in Sweden .,2
913,"To choose BasWare as the tools for our Financial Service seemed like a natural continuation of our cooperation '' , says Tommi Leskinen , Financial Applications Manager , Neste Oil Corporation .",1
914,"Under the agreement GeoSentric will provide GyPSii-powered hotel information and reservation services to visitors to China , including such popular cities as Beijing and Shanghai .",2
915,"Vaisala also said it expects net sales of EUR 253.2 million for 2010 , compared with EUR 252.2 million recorded in 2009 .",2
916,Validating our fgVoIP client through Symbian Signed represents a significant step forward in accomplishing this goal .,2
917,"Wartsila won the contract in October 2007 and the plant will be installed at Manturovo in the Kostroma region of Russia , about 600 km northeast of Moscow , Russia .",2
918,"We are honored to be recognized by Gartner as a specialist in Business Process Modeling and Analysis , in the company of many of the largest software vendors in the world .",2
919,We are now in a position to pursue novel clinical candidates going forward . '',2
920,- UPM-Kymmene upgraded to ` in-line ' from ` underperform ' by Goldman Sachs .,2
921,`` Consumers have very well received our packed fresh meat .,2
922,`` Demand for sports equipment was good in 2005 .,2
923,"`` Last year , Finnair recorded a 32.6-percent growth on the Asian sector , carrying more than 1.10 million passengers between the two continents . ''",2
924,`` The additional flight linking Mumbai with Helsinki was dictated by the strong traffic demand between Asia and Europe .,2
925,`` The lowering of prices by us and by our competitors shows that the real estate market has stabilised and returned into balance and apartments are acquiring a fair price in the eyes of our clients .,2
926,"`` The new structure provides better communication , faster decision-making and cost savings , '' Proha said .",2
927,"`` This contract demonstrates our ability to apply our minerals and metals technologies in adjacent industries , such as oil shale processing .",2
928,`` We are pleased to deliver the Basware Invoice Automation solution to a major retail company in the US .,2
929,"`` We have tailored our solutions to meet Solel 's technical requirements , and the result is both cost-effective manufacturing and highest-quality reflectors . ''",2
930,`` We 've been feeling quite positive about the region as a whole .,2
931,21 December 2010 - Finnish industrial machinery company Wartsila Oyj Abp HEL : WRT1V said yesterday it had won an order to design a liquefied natural gas LNG powered platform supply vessel PSV for Norwegian oil service provider Eidesvik Offshore ASA OSL : EIOF .,2
932,Finlan 's listed food industry company HKScan Group controlled companies in the Baltics improved revenues by EUR 3.5 mn to EUR 160.4 mn in 2010 from EUR 156.9 mn in the year before .,2
933,"Finnish airline Finnair has won a deal with the UK public sector to be the official airline for flights from London Heathrow to Osaka in Japan , as well as flights between Manchester in the UK and Helsinki in Finland .",2
934,Finnish Cargotec has been awarded a significant order for a total of 292 Hiab loader cranes by BAE Systems in the US .,2
935,Finnish Cargotec 's Kalmar has received a significant order from the US Department of Defense .,2
936,Finnish Outotec has been awarded a contract to supply a new zinc roaster with gas cleaning and sulphuric acid plant for the OZK Kardzhali zinc smelter in Bulgaria .,2
937,"Finnish P+�yry has been awarded an engineering contract by CFR , the national railway company of Romania .",2
938,"According to a report by Neomarkka , Kuitu Finland 's customers are interested in buying the company 's products when it restarts production .",2
939,"As a result , the distribution companies will start to distribute , in addition to their current product offering , Shimano reels , rods and other Shimano fishing tackle products on an exclusive basis .",2
940,Cargotec Germany GmbH has been awarded a contract by Stadtverwaltung Mainz for chassis bodies under Open procedure .,2
941,CEO Erkki J+�rvinen is happy with the company 's performance in 2010 .,2
942,Deliveries have started and the network will be ready for a launch soon .,2
943,"Earnings per share for the quarter were also higher year-on-year at 0.33 eur versus 0.27 , and above market expectations of 0.28 eur .",2
944,"EBITDA for the year 2009 improved to EUR484m , as compared with EUR472m in 2008 .",2
945,"Estonian telecoms company Elisa 's customer numbers cross 400,000 TALLINN , Oct 22 , BNS - The Estonian telecommunications company Elisa won approximately 50,000 new clients in the nine months of this year , bringing the number to 401,800 by the end of September , the company said .",2
946,"Exel Composites ' long-term growth prospects remain favourable , however .",2
947,fi is developing cooperation in keyword advertising with Microsoft .,2
948,"Finnish construction group Lemminkainen Oyj HEL : LEM1S said today it has won a contract to provide technical services for the Nevsky Centre shopping mall to be opened in November in St Petersburg , Russia .",2
949,Finnish mobile operator DNA will function as a subcontractor to Maingate and will be responsible for telecommunications connections .,2
950,"Finnish software developer Basware Oyj said on November 30 , 2006 its U.S. subsidiary Basware , Inc. won an order to provide software for contract lifecycle management to an unnamed U.S. medical technology company .",2
951,"Honka 's subsidiaries in France and Germany will also benefit by , for example , arranging customer events in conjunction with World Cup skiing competitions .",1
952,"However , sales volumes in the food industry are expected to remain at relatively good levels in Finland and in Scandinavia , Atria said .",2
953,Incap and Lankapaja aim to enter into actual agreement to transfer the sheet-metal production to the buyer in February in order to complete the transfer on 1 March 2011 .,2
954,Mr Kivimeister said John Deer former Timberjack stands to win in the situation : it controls around 60 % of Estonia 's forest machinery market .,2
955,Nokia and Elisa will work together to bring a superior mobile gaming experience for Elisa customers .,2
956,Nordea sees a return to positive growth for the Baltic countries in 2011 .,2
957,Operating profit improved by 16.7 % to EUR 7.7 mn .,2
958,Operating profit improved by 39.9 % to EUR 18.0 mn from EUR12 .8 mn .,2
959,Operating profit improved by 44.0 % to ER 4.7 mn from EUR 3.3 mn in 2004 .,2
960,Operating profit improved to EUR 20.3 mn from EUR 11.4 mn .,2
961,Outokumpu 's chief executive Juha Rantanen expressed his confidence in China market .,2
962,"Previously , the company anticipated its operating profit to improve over the same period .",2
963,Productional situation has now improved .,2
964,Rautaruukki said construction group YIT has awarded it a 2.5 mln eur contract to supply the steel structures for a new bridge spanning the Kemijoki river in Northern Finland .,2
965,"Sales came in at 241 mln eur , compared with 211.4 mln , and also beating consensus forecasts of 235 mln eur .",2
966,"Sales VAT inclusive expanded by 19 percent , to 351 million euros .",2
967,Strong growth has continued also in China .,2
968,Synergy benefits will start to materialise in the second quarter .,2
969,Teleste and Sentry 360 have formed an integration partnership between Sentry s advanced 360-degree immersive camera product line and Teleste s enterprise video management systems .,2
970,"Thanks to the multiplying effect of wagon performance , transport will be much more efficient , '' says development manager Juha Malkia from VR Cargo .",2
971,The ` buy ' recommendation was reiterated .,2
972,The aim is to achieve EUR 2.5 mn yearly savings .,2
973,The borrower was happy to do the roadshow and this paid off as the hit ratio from it was high .,2
974,"The company , which makes garden tools , scissors and other consumer goods , said earnings were boosted by 6.9 mln eur of income it received from its 16.7 pct shareholding in Finnish engineering group Wartsila .",2
975,The company anticipates its turnover for the whole 2010 to surpass that of the previous year when it was EUR 67.1 million .,2
976,The company negotiated an amendment to the financial covenants of the present credit agreements in regard to the situation on 30 September 2010 .,1
977,The EPS improved to EUR0 .38 from EUR0 .27 .,2
978,The expansion aims to attract new customers both in Finland and abroad .,2
979,The Federal Secretary for Transport and Communication of Mexico has awarded Poyry and its Mexican partner Sintra a consulting contract in connection with the Buenavista-Cuautitlan suburban railway .,2
980,"The financial impact is estimated to be an annual improvement of EUR2 .0 m in the division 's results , as of fiscal year 2008 .",2
981,"The financial impact is estimated to be some 1.5 MEUR annual improvement in the division 's result , starting from fiscal year 2007 .",2
982,The Finnish group anticipates a sales gain of EUR42m after tax and expenses .,2
983,"The launch of the plant in June went well , and it has been producing the advanced fuel for a couple of weeks .",2
984,The parties have agreed to negotiate definitive distribution and license agreements by the end of June 2010 .,2
985,The rationalization of the operations seeks to achieve over EUR 1 million in yearly savings as from the second quarter of the current financial year .,2
986,"The sale , which will result in a gain of some EUR 60 million in the second quarter of 2010 for Oriola-KD , supports the Finnish company 's strategy to focus on pharmaceutical wholesale and retail operations .",2
987,The stock of new machines is reasonably small and new orders bring work .,2
988,The third order awarded to Outokumpu Technology is by Shalkiya Zinc of Kazakhstan for the Shalkiya zinc-lead project in Kazakhstan .,2
989,These companies will be able to keep their market positions .,2
990,This acquisition supports our strategy of being close to our customers all around the world offering both equipment and related services .,2
991,This lays a foundation for sustainable business development for the long term .,1
992,"Turun kaupunkin , Finland based company has awarded contract to Lemminkainen Talotekniikka Oy for electrical installation work .",2
993,The world 's biggest magazine paper maker said the program to improve efficiency will include closing several of its least competitive mills and would cover all the company 's operations resulting in annual savings of some euro200 million US$ 240 million .,2
994,These moderate but significant changes resulted in a significant 24-32 % reduction in the estimated CVD risk .,2
995,Uponor improved its performance in spite of the decrease in residential construction in the US .,2
996,The inventor was issued U.S. Patent No. .,1
997,"Israeli cable network operator HOT Telecom has chosen Teleste , an international technology group , as its exclusive provider of FTTx equipment in Israel , according to Teleste today .",2
998,Incap Corporation Stock Exchange Release 4 May 2010 at 8.30 a.m. INCAP CORPORATION 'S DIRECTED SHARE ISSUE WAS SUBSCRIBED IN FULL The Board of Incap Corporation has approved the subscriptions of directed share issue .,1
999,"Amer Sports divests an industrial site in Rumilly , France -  This announcement is distributed by Thomson Reuters on behalf of Thomson Reuters clients .",1
1000,"Simultaneously , his responsibility area is extended from legal affairs to cover also mergers and acquisitions .",1
1001,The Board of Directors has proposed the Extraordinary General Meeting to authorise the Board to decide on the issuance of a maximum of 30mn new shares in one or more share issues .,1
1002,`` BG Crane has been a strong partner for Hiab in Australia for many years .,1
1003,"Once your plants are in the ground they will continue to grow , but the success of any garden lies in how well it 's maintained .",1
1004,"The purchase of sites worth 300 million in the Thames Gateway will provide more than 1,200 homes .",1
1005,"Poyry 's contract includes engineering management , civil and detail engineering services , and time scheduling and procurement services .",1
1006,"The Group brand portfolio includes the leading brand in the industry , Rapala , and other global brands like VMC , Storm , Blue Fox , Luhr Jensen , Williamson , Marttiini and Sufix .",1
1007,"It 's `` finger-friendly '' , and to my opinion , really fast .",1
1008,"`` Thanks to my Nokia and Lulu , I am now proud to be a published His novel can be found here .",1
1009,"`` The summer collection 2008 will be joyfully fresh like a vitamin injection , '' said H&M 's head of design Margareta van den Bosch .",1
1010,"A maximum of 20 employees , who work in Karttakeskus and are responsible for producing Geographic Information Services , will be affected , the company added .",1
1011,"About Marubeni Marubeni Corporation TSE : 8002 ; ADR : MARUY was established in 1858 , and is a core company of Marubeni Group , one of Japan 's leading general trading houses .",2
1012,"ABOUT MIDNIGHTTRADER : MidnightTrader is the premier source of extended-hours US equity trading analysis , news and forecasting for the retail and institutional investment community .",1
1013,Juha-Pekka Weckstr+�m has been appointed President of telecom group TeliaSonera Finland to succeed Esa Rautalinko .,1
1014,"According to Pietinalho , doctors should motivate their patients who smoke every time they visit their doctors .",1
1015,"According to the original merger plan , Scanfil would get a 79 % stake in the combined business .",1
1016,"According to Ultrascan , with a software acquired from crackers , it has managed to change the mobile phone in a way that the phone was able to get hold of a one-time password sent by a bank via a text message .",1
1017,"Additionally , retailers can use the same hardware across all tasks in stores and throughout the warehouse , providing substantial savings on support and infrastructure costs .",1
1018,"Addus ' services include personal care and assistance with activities of daily living , skilled nursing and rehabilitative therapies , and adult day care .",1
1019,"Aldata Solution Oyj Bertrand Sciard President and CEO Further information : Aldata Solution Oyj , Bertrand Sciard , President and CEO , tel. +33 1 46 48 28 00 Aldata 100 % Retail-Wholesale At Aldata 100 % of our business is dedicated to retail and wholesale business improvement .",1
1020,Alfa group will have 43.9 % of voting stock in the new company and Telenor 35.4 % with a free float of 20.7 % .,1
1021,All are welcome .,1
1022,Altogether 150 subjects with mildly elevated cholesterol levels participated in the four-month long intervention .,1
1023,"An additional amount , capped at EUR12m , is payable in cash upon the achievement of certain financial performance targets in 2007 .",1
1024,"Arto Ryymin , born 1964 , will replace Juhani Kaisanlahti who has worked as acting EVP , Healthcare & Welfare since August 2007 .",1
1025,At CapMan Haavisto will be responsible for Group Finances and Accounting and IT .,1
1026,"By implementing the software the Finnish Army aims to unify and improve its operations in these application areas , QPR Software stated .",2
1027,"Cablevision Systems Corp. CVC Their Madison Square Garden division owns and operates the New York Knickerbockers basketball team ; they also own the Madison Square Garden Arena , the New York Rangers hockey team , the New York Liberty women 's basketball team , and the Hartford Wolf Pack hockey team .",1
1028,"CapMan has six investment areas CapMan Buyout , CapMan Technology , CapMan Life Science , CapMan Russia , CapMan Public Market and CapMan Real Estate , and each of them has a dedicated team and funds .",1
1029,"CapMan Plc Press Release 31 March 2008 Jukka Ruuska , President of the OMX Nordic Exchanges and the Stockholm Stock Exchange , will transfer to CapMan effective no later than September 2008 .",1
1030,"cents The profile contains business operations , the company history , major products and services , prospects , key competitors , structure and key employees , locations and subsidiaries .",1
1031,"Conference Call To participate via a conference call , please dial in 5-10 minutes before the beginning of the event : +44 0 20 7162 0025 Europe or +1 334-�323-�6201 USA .",1
1032,Construction is scheduled to start in April-June 2007 and to be completed in early 2008 .,1
1033,"FinancialWire tm is a fully independent , proprietary news wire service .",1
1034,Finnish Civil Aviation Administration decided to temporarily reopen Finnish capital 's Helsinki airport since 3 p.m. to 11 p.m. Monday local time .,1
1035,"Fiskars , the World 's  1 Scissors Brand TM , recently won Learning -� Magazine 's 2011 Teachers ' Choice Award for the Classroom .",2
1036,"Founded in 1946 , Strand Associates , which provides civil , environmental , transportation , electrical and mechanical engineering services , has 350 employees at 10 offices in Wisconsin , Alabama , Illinois , Indiana , Kentucky and Ohio .",1
1037,Halonen 's office acknowledged receiving the letter but declined comment .,1
1038,He believes that the soy-oats have a good chance of entering the UK market .,2
1039,"He does not believe , however , that HKScan or Atria will start to use imported meat as Finnish consumers prefer domestic products .",1
1040,"Headquartered in this city , the company is nearly 75 years old and focuses on science-based innovation and technology for environmental measurement .",1
1041,"However , in March 2009 , the government of St. Petersburg passed the front part of the building with the area 1,900 square metres and a land plot for a hotel worth USD 10-15mn to the company Delta .",1
1042,"In 2009 , Lee & Man had a combined annual production capacity of close to 4.5 million tonnes of paper and 300,000 tonnes of pulp .",1
1043,"In the method the smelt spouts 2 are separated from the working area 6 by a shielding wall 8 , 10 arranged movable in relation to the smelt spouts .",1
1044,"Investments span across various product and investment types , including retail , hospitality , office , and residential , with interests in real-estate portfolios , non-performing loans and corporate restructurings .",1
1045,It also recovers valuable raw material for Kemira 's water chemical production .,1
1046,"It is necessary to strengthen the company 's operations , however .",1
1047,It will use the proceeds from the transaction to achieve its target .,1
1048,"Kai Tulonen , Chief Technology Officer , SysOpen Digia says : `` We have been using Corporate Phonebook inside SysOpen Digia extensively since last fall , and we have been very satisfied with the results .",2
1049,"Last year , Lemminkainen completed the Kouvola K-supermarket contract .",2
1050,Le Lay succeeds Walter G++nter and will be based in Finland .,1
1051,"Lemminkainen Infra Oy 's subsidiary Lemminkainen Sverige AB will perform the construction work , which is expected to start in early 2011 and to be completed in the summer of 2013 .",1
1052,"Los Angeles-based Pacific Office Properties Trust acquires , owns , and operates office properties in the western U.S. , focusing initially on the markets of Honolulu , San Diego , Los Angeles , and Phoenix .",1
1053,"Master of Mayawas jointly developed by Nokia Siemens Networks and UFA - FremantleMedia , and will be actively advertised by Maxis in the end of May 2007 .",1
1054,Medical Devices - Russia This brand-new market analysis gives a clear overview of the actual situation and future outlook of the medical device market in Russia .,1
1055,"Metrics in QPR ScoreCard now support date , text and milestone-based values , which improve its support for managing projects around performance or process-related content .",2
1056,Mformation provides enhanced management of these applications by enabling configuration and control throughout their lifecycle .,1
